"","state","state.name","middate","pollster","pollster_id","samplesize","population","clinton","trump"
"1","AK","Alaska","10/17/16","Google Consumer Surveys",73,111,"likelyvoters",28.07,36.9
"2","AK","Alaska","10/12/16","CVOTER International",192,304,"likelyvoters",41.3,54.1
"3","AK","Alaska","10/12/16","Lake Research Partners",42,500,"likelyvoters",36,37
"4","AK","Alaska","10/12/16","Google Consumer Surveys",73,71,"likelyvoters",34.6,29.98
"5","AK","Alaska","10/6/16","Google Consumer Surveys",73,60,"likelyvoters",29.97,27.17
"6","AK","Alaska","10/5/16","Moore Information",99,500,"likelyvoters",34,37
"7","AK","Alaska","10/5/16","CVOTER International",192,305,"likelyvoters",41.3,53.4
"8","AK","Alaska","9/30/16","Ivan Moore Research",313,660,"registeredvoters",30.6,36.1
"9","AK","Alaska","9/30/16","Google Consumer Surveys",73,65,"likelyvoters",47.46,36.7
"10","AK","Alaska","9/25/16","CVOTER International",192,457,"likelyvoters",40.3,55.2
"11","AK","Alaska","9/23/16","Google Consumer Surveys",73,67,"likelyvoters",28.37,37.74
"12","AK","Alaska","9/18/16","CVOTER International",192,460,"likelyvoters",40.1,54.9
"13","AK","Alaska","9/17/16","Google Consumer Surveys",73,56,"likelyvoters",20.82,39.24
"14","AK","Alaska","9/14/16","Moore Information",99,500,"likelyvoters",31,39
"15","AK","Alaska","9/10/16","Google Consumer Surveys",73,51,"likelyvoters",23.35,41.15
"16","AK","Alaska","9/3/16","Google Consumer Surveys",73,86,"likelyvoters",18.06,44.22
"17","AK","Alaska","8/28/16","Moore Information",99,500,"likelyvoters",29,39
"18","AK","Alaska","8/27/16","Google Consumer Surveys",73,87,"likelyvoters",30.84,29.36
"19","AK","Alaska","8/20/16","SurveyMonkey",352,989,"registeredvoters",31,38
"20","AK","Alaska","8/20/16","Google Consumer Surveys",73,87,"likelyvoters",29.51,37.98
"21","AK","Alaska","8/13/16","Google Consumer Surveys",73,88,"likelyvoters",31.73,28.39
"22","AK","Alaska","8/11/16","Lake Research Partners",42,500,"likelyvoters",30,38
"23","AK","Alaska","6/18/16","Ivan Moore Research",313,670,"registeredvoters",30,39
"24","AK","Alaska","1/8/16","Ivan Moore Research",313,651,"registeredvoters",44.1,49.3
"25","AL","Alabama","10/17/16","Google Consumer Surveys",73,445,"likelyvoters",23.68,53.37
"26","AL","Alabama","10/12/16","CVOTER International",192,327,"likelyvoters",37.8,57.1
"27","AL","Alabama","10/12/16","Google Consumer Surveys",73,373,"likelyvoters",19.61,54.78
"28","AL","Alabama","10/10/16","Ipsos",25,482,"likelyvoters",38.4,52.39
"29","AL","Alabama","10/6/16","Google Consumer Surveys",73,379,"likelyvoters",22.51,53.8
"30","AL","Alabama","10/6/16","Ipsos",25,341,"likelyvoters",38.3,53.84
"31","AL","Alabama","10/5/16","CVOTER International",192,332,"likelyvoters",38,56.3
"32","AL","Alabama","9/30/16","Google Consumer Surveys",73,357,"likelyvoters",19.45,56.59
