"","ResponseID","female","bachelors","employed","dem"
"1","R_3nGChT9uXxpGL02",0,0,1,0
"2","R_1Cj2mBz5kq8pSnz",1,1,1,1
"3","R_w4yj3flOVzy8o0N",1,0,0,1
"4","R_3HuhMHnGlMXzIFv",0,0,1,0
"5","R_9NCli0XyHqzKThn",0,1,1,1
"6","R_3JdWotZwmJqczrS",1,0,1,0
"7","R_1ISGoeEu7PuLLrJ",0,1,1,0
"8","R_3xCeuBWoJlobfX3",1,0,1,1
"9","R_BLMs8SbWjxtss9z",0,1,1,0
"10","R_1o7n3I5J5LEArp5",1,0,1,1
"11","R_DbKh9lEv0P09dOF",0,1,1,NA
"12","R_3stuqK9w7ezVr18",0,1,1,0
"13","R_1nW0YMXJiTTYcAm",0,1,1,0
"14","R_b7vzXwoVFrqXIad",0,1,1,0
"15","R_27xqLDEkKPsdgxy",1,1,1,0
"16","R_DVkUtMrHvI1RBU5",0,0,0,0
"17","R_1kSUFvOimousAxR",1,0,1,1
"18","R_yTJQeAieyE9J9qV",0,1,1,NA
"19","R_32IR1BanIg1jejC",0,1,1,1
"20","R_1pyT0Rg37jR0xM8",0,1,1,1
"21","R_2mJO0i4foVPxDxL",1,1,1,1
"22","R_CmhwKz57jemQ14l",1,1,1,1
"23","R_3I3K2ZSIKNX9FjR",0,1,1,0
"24","R_2rCQW1qEbwywc1u",0,1,1,1
"25","R_274iDyCx7uP4ubS",0,0,1,0
"26","R_2s77a6ynlOIOQs3",0,0,1,0
"27","R_bwKKRtOYuCjXND3",1,0,1,1
"28","R_3ebgxlYGUdF1lpy",0,0,1,0
"29","R_3rOD8nBUEcLvyVi",0,0,1,0
"30","R_ekxf71eCQfTTTUd",0,1,1,1
"31","R_8nXW6Q1o9ZjdKhj",1,0,1,1
"32","R_1mEi4ju1LhyvG5t",0,1,1,0
"33","R_2P6WMAMlD7d5wUi",1,0,1,0
"34","R_3J9rZKsV6qPLEKM",0,1,1,0
"35","R_RjWlI5axG3oUaZ3",1,1,1,1
"36","R_2v2Of3PYvZUOSPq",1,0,1,0
"37","R_3fr8J4atO4ppa84",0,1,1,1
"38","R_2P86vYxJCssadnp",0,1,1,1
"39","R_RVoxDh8xdTLCUfL",1,0,1,0
"40","R_1Te2s2vjVgIxUZP",0,0,1,0
"41","R_2S1b9E9hOEDzpuh",1,1,1,1
"42","R_3Rqh39KylzPYH2c",0,1,1,0
"43","R_23X2B86IbPK3t4X",0,1,0,1
"44","R_1oIriSRxeP3iorO",0,1,1,1
"45","R_rfl8iWjOClFOVHz",0,1,1,0
"46","R_O7iUUTxBv5bOidz",1,1,1,1
"47","R_1mRcoQcCrkK4ncE",0,1,0,1
"48","R_1QnqnwsUD3nTsCb",1,1,1,0
"49","R_2sT2DaAgXv1B3eY",1,0,1,1
"50","R_1i8mkw0Lq6yHhMl",0,1,1,1
"51","R_1OGHo532k4JGdB0",0,1,1,1
"52","R_5jXCq2v0gbGGo49",1,0,0,0
"53","R_3ME6Y8ATgXFjPY0",0,0,1,0
"54","R_3CV01jejfEjCqHV",0,0,1,0
"55","R_1hWsIlxxQKy5KoA",0,1,1,0
"56","R_3dSP48oiE8YmEsl",1,1,1,1
"57","R_yKZydcNvBCaeRGx",1,1,1,1
"58","R_3fqJPff2hThenUS",0,0,1,0
"59","R_2P70OMeMdYxit8Y",1,1,1,0
"60","R_rom0a8V8siZtfTr",1,1,1,1
"61","R_1lg8VJPgIaTUznV",1,1,1,1
"62","R_3PNMfhuHumiO3PC",0,1,1,0
"63","R_3ql2WsXR0wJ4ZTn",0,0,0,0
"64","R_2sYWaOFffQxRb4w",0,0,1,0
"65","R_3P2gshADE5WrQVb",1,1,0,1
"66","R_2BbSqMpqVAQqu5r",0,0,1,1
"67","R_0SvLTbnYRmKMJMt",1,1,1,1
"68","R_3MrR99QVhcfrpzt",0,1,1,1
"69","R_3JgRqNKKvQoyHLq",1,0,1,0
"70","R_2cu4Ww4hGGXCtYE",0,1,1,0
"71","R_1QKJ1Kld1yBWkM0",0,0,1,0
"72","R_8D1HGn9PSxiBm8N",1,1,1,0
"73","R_1GwQZhAcFLMXTkU",0,1,1,1
"74","R_2dXhVmi1Z1EKBIK",0,0,1,0
"75","R_3fuWgoBM3b5spTE",0,0,0,1
