"","voter.id","treatment","victim.status","ge2000","ge2002","fam.members","age","party","sex","pct.white","median.income"
"1",1,0,2,"N",0,1,32,"D","F",0.911583006381989,33258
"2",2,1,3,"Y",1,4,50,"N","F",0.916064023971558,166361
"3",3,1,3,"Y",1,4,50,"N","M",0.916064023971558,166361
"4",4,0,3,"A",1,1,62,"N","F",0.919984996318817,200001
"5",5,0,3,"N",0,1,84,"D","F",0.90541797876358,39688
"6",6,0,3,"N",0,1,86,"D","F",0.943654000759125,31961
"7",7,0,3,"Y",1,2,59,"D","F",0.943654000759125,31961
"8",8,0,3,"Y",1,2,61,"D","M",0.943654000759125,31961
"9",9,0,3,"Y",0,1,42,"N","F",0.883898973464966,37245
"10",10,0,3,"Y",1,3,75,"D","M",0.948673009872437,53311
"11",11,0,3,"Y",0,3,78,"D","F",0.948673009872437,53311
"12",12,0,3,"Y",1,2,65,"D","F",0.737429976463318,71667
"13",13,0,2,"N",0,3,67,"N","M",0.954315006732941,45104
"14",14,0,2,"Y",1,3,66,"N","F",0.954315006732941,45104
"15",15,0,2,"Y",1,3,45,"N","F",0.954315006732941,45104
"16",16,0,3,"Y",1,2,56,"D","F",0.887544989585876,100685
"17",17,0,3,"N",0,2,47,"D","M",0.948673009872437,53311
"18",18,0,3,"N",0,2,42,"D","F",0.948673009872437,53311
"19",19,0,3,"Y",0,3,46,"N","M",0.948673009872437,53311
"20",20,0,3,"N",0,2,24,"N","F",0.86784702539444,46591
"21",21,0,3,"Y",0,1,34,"N","F",0.883898973464966,37245
"22",22,0,3,"Y",1,3,56,"N","F",0.887544989585876,100685
"23",23,0,3,"Y",1,3,63,"N","M",0.887544989585876,100685
"24",24,0,3,"Y",1,1,68,"N","F",0.887544989585876,100685
"25",25,1,3,"Y",1,2,70,"D","F",0.853215992450714,87272
"26",26,0,3,"Y",1,2,64,"N","M",0.83739298582077,102485
"27",27,0,3,"Y",0,2,61,"N","F",0.83739298582077,102485
"28",28,0,3,"Y",1,2,69,"D","M",0.737429976463318,71667
"29",29,0,2,"N",0,1,56,"N","F",0.987966001033783,30057
"30",30,0,3,"Y",1,4,66,"D","F",0.853215992450714,87272
"31",31,0,3,"Y",1,4,70,"N","M",0.853215992450714,87272
"32",32,0,3,"N",0,2,89,"N","M",0.932277023792267,80403
"33",33,0,3,"Y",0,1,78,"D","M",0.786831974983215,54755
"34",34,1,3,"N",0,2,88,"N","M",0.655826985836029,53365
"35",35,0,2,"Y",1,1,47,"N","F",0.983042001724243,31422
"36",36,0,3,"Y",1,1,74,"N","F",0.987966001033783,30057
"37",37,0,3,"Y",1,1,65,"N","F",0.987966001033783,30057
"38",38,0,3,"Y",1,2,58,"N","M",0.987966001033783,30057
"39",39,0,3,"Y",1,2,54,"N","F",0.987966001033783,30057
"40",40,0,3,"N",0,1,84,"N","F",0.924923002719879,55579
"41",41,0,3,"Y",1,1,63,"N","M",0.980488002300262,28281
"42",42,0,3,"Y",1,2,73,"D","M",0.916064023971558,166361
"43",43,0,3,"Y",1,2,70,"D","F",0.916064023971558,166361
"44",44,0,3,"Y",1,3,58,"D","F",0.916064023971558,166361
"45",45,0,3,"Y",0,1,87,"D","F",0.916064023971558,166361
"46",46,0,2,"Y",0,3,55,"N","F",0.916064023971558,166361
"47",47,0,3,"Y",1,1,50,"D","F",0.921781003475189,56125
"48",48,0,3,"N",0,2,70,"D","F",0.916064023971558,166361
"49",49,0,3,"N",0,2,74,"D","M",0.916064023971558,166361
"50",50,0,3,"Y",0,1,37,"N","M",0.916064023971558,166361
"51",51,0,3,"Y",1,2,73,"N","M",0.672680020332336,62917
"52",52,0,3,"Y",1,2,44,"N","M",0.987966001033783,30057
"53",53,0,3,"Y",1,1,58,"D","M",0.949916005134583,33444
"54",54,0,3,"N",0,2,73,"D","F",0.907513976097107,115845
"55",55,0,2,"Y",1,1,65,"D","F",0.640555024147034,63582
"56",56,0,3,"Y",1,1,83,"D","F",0.640555024147034,63582
"57",57,0,2,"N",0,3,47,"N","F",0.980488002300262,28281
"58",58,0,3,"Y",1,2,75,"N","F",0.987966001033783,30057
"59",59,0,3,"Y",1,2,79,"N","M",0.987966001033783,30057
"60",60,0,3,"N",0,2,74,"D","M",0.907513976097107,115845
"61",61,0,3,"Y",1,1,87,"N","F",0.980488002300262,28281
"62",62,0,3,"Y",1,2,68,"N","F",0.885154008865356,79669
"63",63,0,3,"Y",1,2,50,"N","F",0.987966001033783,30057
"64",64,0,3,"Y",1,1,88,"D","F",0.800346970558167,60556
"65",65,0,3,"N",0,1,83,"N","F",0.980488002300262,28281
"66",66,0,3,"N",0,1,81,"D","F",0.869077980518341,79413
"67",67,0,3,"Y",1,2,37,"N","F",0.980488002300262,28281
"68",68,0,3,"Y",1,2,43,"D","M",0.980488002300262,28281
"69",69,0,3,"Y",1,2,71,"D","F",0.976000010967255,33152
"70",70,0,3,"N",0,2,81,"N","M",0.976000010967255,33152
"71",71,0,3,"Y",1,2,64,"N","F",0.918968975543976,86803
"72",72,0,3,"N",0,1,88,"D","M",0.722656011581421,69821
"73",73,0,3,"N",1,2,83,"D","F",0.944986999034882,67250
"74",74,1,3,"Y",1,3,75,"N","M",0.944986999034882,67250
"75",75,1,3,"Y",1,3,74,"N","F",0.944986999034882,67250
"76",76,1,3,"Y",1,2,86,"N","M",0.336481988430023,38162
"77",77,0,3,"N",0,2,51,"N","F",0.798907995223999,36998
"78",77,0,3,"N",0,2,51,"N","F",0.798907995223999,36998
"79",78,0,3,"Y",1,1,72,"N","M",0.91704398393631,68814
"80",79,0,3,"Y",1,3,47,"D","M",0.878488004207611,61250
"81",80,0,3,"Y",1,3,49,"D","F",0.878488004207611,61250
"82",81,0,3,"Y",1,4,67,"N","F",0.918968975543976,86803
"83",82,0,3,"N",0,1,62,"D","F",0.955994009971619,55655
"84",83,0,3,"Y",1,1,56,"N","M",0.949916005134583,33444
"85",84,0,3,"Y",1,3,71,"D","F",0.91839200258255,88227
"86",85,0,3,"Y",1,1,77,"N","F",0.91839200258255,88227
"87",86,0,3,"Y",1,2,62,"N","F",0.89224100112915,56625
"88",87,0,3,"N",0,3,75,"N","M",0.766203999519348,52143
"89",88,0,3,"N",0,3,71,"N","F",0.766203999519348,52143
"90",89,0,3,"N",0,1,84,"D","M",0.730531990528107,73636
"91",90,0,3,"N",0,1,81,"D","F",0.854530990123749,59226
"92",91,0,3,"N",0,1,43,"N","F",0.862187027931213,53359
"93",92,0,3,"N",0,1,84,"D","F",0.949191987514496,102968
"94",93,0,3,"N",0,2,79,"D","M",0.810284018516541,70313
"95",94,1,3,"Y",1,2,72,"N","F",0.949191987514496,102968
"96",95,1,3,"N",0,1,95,"N","M",0.949191987514496,102968
"97",96,0,3,"Y",1,2,63,"D","F",0.949191987514496,102968
"98",97,0,3,"Y",1,2,69,"I","M",0.90541797876358,39688
"99",98,0,3,"Y",1,2,68,"D","M",0.949191987514496,102968
"100",99,1,3,"N",0,2,80,"N","M",0.949191987514496,102968
"101",100,0,3,"Y",1,3,64,"N","F",0.847106993198395,87647
"102",101,0,3,"Y",1,1,67,"D","M",0.791514992713928,41513
"103",102,0,3,"Y",0,1,25,"D","M",0.891439020633698,51182
"104",103,1,3,"Y",1,2,56,"N","F",0.662500023841858,58092
